Gene_ID	WT.0h.rep1	WT.0h.rep2	WT.0h.rep3	WT.3h.rep1	WT.3h.rep2	WT.3h.rep3	WT.24h.rep1	WT.24h.rep2	WT.24h.rep3
AT2G12550	5.488215032	4.937187704	4.54918597	4.657249881	4.935498258	4.198085847	21.04628434	15.2673037	16.79064981
AT2G13128	0	0.142607732	0	0.929955704	0.80378973	1.483093465	0.162518027	0.147692326	0.92628327
AT2G13960	0.95133896	0.34717336	1.1760112	1.226302725	1.271918048	1.554536912	1.8793102	3.191020627	3.053650009
AT2G15080	4.812333639	6.617273152	8.514662596	17.17543523	23.07731438	24.09447788	9.141660731	15.61954885	22.9973379
AT2G15490	18.93318156	17.83961316	16.40234939	13.47990816	15.70505139	14.65905035	28.46242747	29.67838421	34.88483252
AT2G15880	0.498074584	1.240882044	1.874733616	13.39149945	34.53690718	23.54797906	9.819232403	63.83993969	43.57281179
AT2G15890	9.662424885	13.48566236	22.08253459	42.51116868	71.10734271	64.72740864	135.7881199	601.0425702	584.8429974
AT2G15960	24.23138067	27.57230788	37.23444409	69.87815013	87.429804	80.11312254	95.10529642	309.0213848	343.8893717
AT2G15970	239.359817	229.1866455	227.9659178	324.8553919	343.0823254	342.2125125	4277.924611	4276.465293	4470.548978
AT2G16080	0	0	0	0.202190762	0.419423482	0.322453851	0.1060039	0.192667396	0.201392302
AT2G16400	19.22748435	19.15970786	20.31172896	31.23547261	32.90131106	33.23415658	37.28882593	45.68261767	45.44674474
AT2G16500	129.6943739	122.1705821	112.2704672	208.1234702	209.2234081	216.7380689	193.7569223	220.9296946	205.4742073
AT2G16595	5.507117752	6.014489377	6.004360048	5.141769028	5.787784144	5.551484722	10.03054716	10.97659433	10.24292793
AT2G16600	287.5472322	288.0881591	290.8790845	377.8443279	332.0412562	334.0039721	497.9898596	524.0699864	481.4370613
AT2G16700	13.32095715	12.54512042	14.23316867	27.40032543	22.81042621	24.56708113	86.67324461	86.98043204	101.5945917
AT2G16710	15.63331111	15.49595318	16.5282514	18.12377998	18.43527702	19.70291628	57.19456615	66.19292388	70.40941738
AT2G16890	15.62150887	13.3455278	10.14750764	35.86308198	34.74047969	32.51381206	111.4724056	91.35675757	73.46803492
AT2G16990	4.365703524	3.704576069	3.820263429	4.561591856	3.331201291	3.587924992	34.43324051	26.96750983	21.02563872
AT2G17036	2.104355241	2.700823821	2.939354453	11.88298038	9.75728916	8.836269732	3.003735244	6.706348166	8.278192521
AT2G17050	0.868735917	0.677857897	0.836040781	0.736727022	0.963981128	1.012249402	1.188457818	1.317649772	1.50150382
AT2G17055	0.200368881	0.182802189	0.619222113	0.198677795	0.206068101	0.563291326	0.763855643	0.946599463	0.791572833
AT2G17230	8.152059827	9.566162368	15.66969106	42.08565614	33.99138475	38.05077791	39.06204488	35.13581098	29.02565124
AT2G17250	19.75184818	19.45904171	20.65656865	18.07095786	17.06965559	18.21016514	37.58439086	31.38828839	32.01851013
AT2G17270	5.769617748	4.782686564	4.984867557	4.367586343	4.689558157	4.12039356	12.67465755	9.437477824	9.098947552
AT2G17280	10.84133554	10.35089643	8.051391656	9.499855191	8.81604386	7.353688443	88.64509592	55.62463716	51.12983645
AT2G06995	2.728153402	3.373939003	3.247540273	5.650712151	3.803352713	4.154355786	4.475321181	6.530209285	5.748150384
AT2G17560	78.55521707	67.27846927	67.87385169	80.22898834	76.19470374	73.80888314	165.2880598	148.1221287	146.4894645
AT2G17580	7.755817008	8.81012807	8.43994448	11.17740898	10.69387767	10.3006485	14.7242523	14.74607789	13.2547856
AT2G17705	7.076664583	6.125151673	8.224539864	16.07298732	15.48897189	16.51492371	10.31326519	19.54496205	17.98083522
AT2G17840	22.2837543	22.79058705	20.51385888	246.7531284	276.888136	304.4786991	866.7228847	986.5199224	1213.100117
AT2G18110	65.72206078	67.5286872	67.08551188	76.63793037	76.83430312	70.6464123	142.5568874	130.5537201	134.9181763
AT2G18170	12.81893096	11.97781076	10.53518014	12.99009786	12.19840371	13.5734632	33.33437072	30.47978324	29.6061991
AT2G18196	2.010612555	2.032645494	2.099195384	3.502346264	4.945958083	3.895557658	4.180882603	7.213880869	7.728403239
AT2G18340	0	0.03031099	0	0.131773493	0.068337565	0.035025397	0.17271442	0.062783421	0.098439835
AT2G18350	2.970831654	3.396544154	3.563967274	6.488125737	6.033315608	6.541373592	8.210693361	8.456562911	7.205320391
AT2G18500	2.640092026	3.05572528	3.247350592	2.735025381	2.917811649	2.741714672	5.858546581	7.073980192	5.098191846
